Document_Index,Assigned_Topic,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28
0,-1,0.030266640580507913,0.017311844336339942,9.996951333840232e-19,0.030112661965617942,0.007119874278334588,0.023278601551102097,0.009439980174347575,0.014394123504567598,0.010729710122005813,0.010625091569602165,0.020753033079918878,0.012157090601085996,0.005738797854135988,0.004974242348367764,8.375549712691411e-19,4.0810449239643367e-19,1.0806792147688751e-21,0.0030990706752331513,0.0031259950738651947,0.0059621696116628955,0.003686408779990963,0.006775691386968288,0.0048795869708844605,0.005059491589150972,0.0034734930437704393,7.669559206063151e-06,2.8108673665800295e-25,0.0016500203103401458,0.00212742407819257
1,1,1.4343387832150622e-07,0.8995555428179431,1.1023275437427482e-07,6.559098507676583e-07,2.8690045623692665e-08,1.652776036267992e-07,1.440713925094183e-07,5.277024964109754e-07,1.5745007886112531e-07,7.28251927032617e-08,1.8830740851314806e-07,6.05835045410303e-08,5.9248363532214116e-08,8.226416017936293e-08,6.328269384355556e-08,2.897169283711124e-08,1.7254372959394504e-08,1.3453936492287795e-07,2.7917568992332476e-08,3.2408525519003444e-08,1.976934587577364e-08,2.766875594339093e-08,2.8956127962787807e-08,4.099886410091385e-08,1.781559177773921e-08,1.9216356620878594e-08,2.1369867654377428e-09,8.520990996648098e-09,3.2590106658027825e-08
2,1,0.014205110716675368,0.444831555019455,0.010764795871888702,0.06571456196520135,0.0028518283889367377,0.01642161238282846,0.014320420471566661,0.05249351195658615,0.015844936249716068,0.007239175847079446,0.01873598851374158,0.006019284459744796,0.005909491366243167,0.008206341508657837,0.0062395018145879975,0.002862260265800017,0.0017123435803968051,0.01365743045294623,0.0027733130865561046,0.0032209364297711915,0.001964468778201233,0.002740708218624267,0.002882318102984323,0.00408631346215528,0.0017581712730025643,0.0019271268720962905,0.0002120053059932339,0.0008437515697214581,0.0032448845133425754
3,4,0.09484737141237767,0.06501411461405945,0.05138417942027603,0.08838367647858517,0.14430098108798084,0.06895689094870125,0.02764797598012113,0.04273496613683288,0.03121897627085881,0.044772621965797774,0.05733208689003333,0.03959144026496785,0.016086826820090064,0.01527872149990804,0.039652047723050206,0.01913921770999369,0.009796696531766425,0.009548748737686956,0.016937169844906282,0.021374139865816745,0.010900316960286531,0.02177998835056196,0.01563230102720574,0.013275183806115302,0.011011498928464522,0.009800689790568157,0.002444619383014424,0.005649140825440152,0.005507409508234644
4,-1,0.0017390079768526275,0.0018553860162487648,0.0011988117038990481,0.0023998754370714755,0.00037209283139737925,0.0013737834765653485,0.0007359093549505447,0.001133358642853529,0.001183965197110411,0.0010136847672442117,0.0014692540622723651,0.0008189856309582672,0.000518190951681976,0.00037352113659801396,0.000856489648628507,0.00044321955170211077,0.00026967055811032614,0.00027943202160203074,0.0003463601505211496,0.00036883430558408523,0.00025526546645337274,0.00034237416382157506,0.00036273380298876496,0.0003120781524700231,0.00020047387842858652,0.0004399499049804106,1.5931300959363081e-19,9.949781478528334e-05,0.00016053673025350707
5,2,0.031686330077715014,0.03301783220116035,0.07009874729166352,0.033083049995629846,0.00610178096664046,0.025424477870398893,0.010821975780528346,0.019641302600702706,0.012200591240267665,0.01504274068416675,0.018895246967920633,0.01240640419004585,0.005522354062572034,0.006052169922448215,0.023495665638121263,0.009531616020965111,0.004390870672225957,0.004186490991399174,0.005785161134899272,0.006649869894936778,0.003787937628914875,0.006429843320543679,0.005366344241494923,0.003936683971406171,0.004692795759506058,0.0038260049581389207,0.0008500567290584813,0.0018700305210238393,0.0020808844447022133
6,-1,1.0696266086240467e-12,1.0511359017496598e-12,0.013988946611967036,1.0238216558635848e-12,2.2001009168074233e-13,9.82750871059053e-13,3.6680758331334266e-13,5.762906631797585e-13,3.832842127606099e-13,4.5272099445790407e-13,6.461335229274393e-13,4.087536198179286e-13,1.8210699871125279e-13,1.8517951886679418e-13,0.10370590969796814,2.164260115983712e-12,7.474874841143345e-14,1.2245905789644732e-13,1.8507384196496747e-13,2.300559207688026e-13,1.2186713041757204e-13,2.3830468747868766e-13,1.686739074450811e-13,1.3575246866819466e-13,1.614142673514313e-13,8.737426922256215e-14,1.8366257948893378e-15,6.071173105670046e-14,6.942363260011837e-14
7,11,0.038460734631501674,0.02148122327534054,0.016782729533760588,0.028901684929078082,0.006269698839279936,0.01944541208284121,0.008480997859771,0.013508966211082964,0.012247098410963128,0.022061192151126025,0.019029414811585727,0.06824015410582393,0.005495084505707515,0.006542654378345699,0.012472721675347919,0.0074437266160534594,0.00423600739031363,0.0032020641924888626,0.006143038985238075,0.0050107716757338125,0.004977636650402071,0.006695099565676068,0.006817793545882078,0.0046786388343080295,0.003553595290464248,0.0034901428109398586,0.0010676138869736747,0.0021653590265287752,0.0017089497767104722
8,0,0.17567165544930607,0.02351639400614099,0.01863804971806712,0.034176725589026714,0.00697524369932367,0.025465185148477218,0.008993778246448418,0.014778732789350033,0.01168152854991332,0.030746600729831403,0.018049898208321993,0.0384876248234228,0.005209752205329059,0.011933798241786626,0.013972067351580816,0.007907185134758578,0.004336581847321222,0.0033682567282939573,0.009109413568331528,0.0055162968580521115,0.00986779185373168,0.011383890040318041,0.008902092125920656,0.005413921423283398,0.004948572760335265,0.0032629937984508823,0.0007560834202714464,0.006225904414507081,0.0017786965854219453
9,5,0.0,0.0,0.0,0.0,0.0,0.9999999990974162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
