Topic,Count,Keywords
-1,3917,people
0,853,"capitalism, social, socialism, people"
1,658,"biden, trump, joe, court, supreme, president, putin, ukraine, russia, manchin"
2,604,"ukraine, russia, russian, china, nato, putin, war, us, invasion, ukrainian"
3,389,"voting, republicans, vote, election, democrats, party, would, texas, voters, arizona"
4,327,"whatever, weekly, unrelated, please, entirely, socdem, thread, related, discuss, discussion"
5,312,"libertarian, people, right, race, libertarians"
6,279,"trudeau, police, canada, convoy, canadian, gun, protests, act, capitol, people"
7,259,"trump, durham, probe, donald, committee, investigation, prosecutors, manhattan, cpac, clinton"
8,246,"covid, health, insurance, healthcare, vaccine, 19, administration, pandemic, care, mask"
9,235,"inflation, wage, minimum, poverty, people, welfare, would, pay, wages, unemployment"
10,229,"women, woman, men, feminist, beauty, usually, feminism"
11,220,"workers, strike, worker, starbucks, unions, union, work, amazon, founder, stock"
12,200,"abortion, texas, women, roe, law, court, transgender, abortions, trans, laws"
13,178,"tax, musk, elon, billion, wealth, taxes, income, tesla, billionaires, million"
14,173,"refugees, military, australian, australia, war, israel, png, government, refugee, nauru"
15,127,"venezuela, cuba, us, maduro, cuban, sanctions, country, venezuelan, 19, opposition"
16,121,"climate, change, capitalism, environmental, carbon, energy, new, green, pollution, biden"
17,118,"desantis, florida, ron, gov, poll, cpac, orlando, trump, governor, gofundme"
18,94,"bitcoin, cryptocurrency, crypto, privacy, trading, freedom, cryptocurrencies, monero, internet, encryption"
19,79,"facebook, truth, social, app, twitter, zuckerberg, trump, media, users, launch"
20,73,"land, housing, rent, tax, property, lvt, value, live, landlords"
21,66,"podcast, episode, podcasts, listen, revolution, audiobook, revolutions, historical"
22,49,"debt, student, loan, cancel, loans, colleges, forgiveness, biden, college, tuition"
23,49,"schools, education, school, books, parents, choice, banning, book, religion, maus"
24,41,"nepal, maoists, maoist, india, militias, revolution, communist, rebels, new, permission"
25,36,"marijuana, legalization, pardons, cannabis, court, supreme, governor, rourke, carolina, weed"
26,28,"wholesome, unicode, bez, jez, goodies, melting, emoji, belonging, crabs, hypocrites"
27,28,"ancap, ancaps, proudhon, market, would, property, wrongdoer, nap, capitalism, personal"
28,11,"louisville, mayoral, blm, suspect, attempted, bond, murder, charged, bail, candidate"
